NAME,BEGIN,END,KWH_PERIOD
1002BR,01/11/2021,30/11/2021,2 677
1003BR,01/01/2019,31/01/2019,1 607
1003BR,01/02/2019,28/02/2019,1 482
1003BR,01/03/2019,31/03/2019,1 671
1003BR,01/04/2019,30/04/2019,1 627
1003BR,01/05/2019,31/05/2019,1 678
1003BR,01/06/2019,30/06/2019,1 757
1003BR,01/07/2019,31/07/2019,1 803
1003BR,01/08/2019,31/08/2019,1 807
1003BR,01/09/2019,30/09/2019,1 637
1003BR,01/10/2019,31/10/2019,1 663
1003BR,01/11/2019,30/11/2019,1 596
1003BR,01/12/2019,31/12/2019,1 644
1003BR,01/01/2020,31/01/2020,1 669
1003BR,01/02/2020,29/02/2020,1 568
1003BR,01/03/2020,31/03/2020,1 685
1003BR,01/04/2020,30/04/2020,1 649
1003BR,01/05/2020,31/05/2020,1 859
1003BR,01/06/2020,30/06/2020,1 874
1003BR,01/07/2020,31/07/2020,2 064
1003BR,01/08/2020,31/08/2020,2 119
1003BR,01/09/2020,30/09/2020,2 006
1003BR,01/10/2020,31/10/2020,2 074
1003BR,01/11/2020,30/11/2020,1 986
1003BR,01/12/2020,31/12/2020,2 060
1003BR,01/01/2021,31/01/2021,2 061
1003BR,01/02/2021,28/02/2021,1 886
1003BR,01/03/2021,31/03/2021,2 096
1003BR,01/04/2021,30/04/2021,2 032
1003BR,01/05/2021,31/05/2021,2 068
1003BR,01/06/2021,30/06/2021,2 083
1003BR,01/07/2021,31/07/2021,2 148
1003BR,01/08/2021,31/08/2021,2 098
1003BR,01/09/2021,30/09/2021,2 012
1003BR,01/10/2021,31/10/2021,2 055
1003BR,01/11/2021,30/11/2021,1 980
1007BR,01/01/2019,31/01/2019,2 317
1007BR,01/02/2019,28/02/2019,2 092
1007BR,01/03/2019,31/03/2019,2 327
1007BR,01/04/2019,30/04/2019,2 266
1007BR,01/05/2019,31/05/2019,2 352
1007BR,01/06/2019,30/06/2019,2 380
1007BR,01/07/2019,31/07/2019,2 432
1007BR,01/08/2019,31/08/2019,2 438
1007BR,01/09/2019,30/09/2019,2 308
1007BR,01/10/2019,31/10/2019,2 367
1007BR,01/11/2019,30/11/2019,2 391
1007BR,01/12/2019,31/12/2019,2 566
1007BR,01/01/2020,31/01/2020,2 573
1007BR,01/02/2020,29/02/2020,2 426
1007BR,01/03/2020,31/03/2020,2 594
1007BR,01/04/2020,30/04/2020,2 632
1007BR,01/05/2020,31/05/2020,2 729
1007BR,01/06/2020,30/06/2020,2 683
1007BR,01/07/2020,31/07/2020,2 827
